Gene	Emp_Uns	Emp_IFNg	Emp_6hr_CpG	Emp_6hr_pIC	Emp_6hr_all3	NCoR1_Uns	NCoR1_IFNg	NCoR1_6hr_CpG	NCoR1_6hr_pIC	NCoR1_6hr_all3
Trp53inp1	-0.168224945066745	-0.436051222782536	-0.805052066193417	2.04466788742101	-0.49805461312984	-0.239670209940213	-0.344631850972285	-0.76263298934832	1.65726909618942	-0.447619086177077
Actn4	-0.302196539889283	-0.117245051527511	-0.287353811274481	1.55860464727394	1.52459102525294	-1.16870205022252	-0.893842723749444	-1.17901414349818	0.178031680751917	0.687126966882626
Ube2cbp	0.862460776110318	1.33068435951916	-0.0443687369457283	-0.723630671123527	-0.731090531002222	1.06590149204215	1.14926387637878	-0.680062742011992	-1.01131670575161	-1.21784111721533
Vipas39	-0.623651681141601	-0.3731478856225	1.28293050677003	1.24526902221799	0.460538460682182	-1.47098393280977	-1.28644604939549	0.338652420750146	0.934044119103298	-0.507204980554311
Fxr1	-1.31687042182059	-1.62228179032205	-0.593784076884005	0.224306198106833	0.38225597787165	-0.170079152621647	-0.283198417132387	0.897457917041509	1.0291538103811	1.45303995537961
Fbxl16	1.46439161059005	1.72476938062278	0.669136180039936	-0.00600818101332511	-0.0913318207257924	-1.32458001662001	-0.850536456490672	-0.268944383560129	-0.718628935155607	-0.598267377687268
Gm17660	-0.471069336704755	1.63553330099868	-0.471069336704755	-0.471069336704755	-0.471069336704755	-0.471069336704755	-0.471069336704755	-0.471069336704755	-0.471069336704755	2.13302139263925
Gm4952	-0.0735495577996582	-0.858082582506058	0.159475545926279	1.33658006668663	1.47718815890764	-0.712638968887574	-0.788743385599414	-1.59379881244578	0.38687105022592	0.66669848549197
Epb41l2	-0.499690558193649	-0.103397920841674	-1.90429578114007	0.752820506461091	-0.523115755196145	0.853576361775233	0.85820520127764	-0.699726407973424	1.50380547891765	-0.23818112508666
Zfp24	-0.769816914233842	-0.780962387125761	0.562109380752909	0.966663660465771	1.31738349797996	-1.24109288140412	-1.55432967324055	0.503420355712953	0.268900389716183	0.727724571376537
Ubiad1	-0.43929284463556	-0.149093362294847	1.11104127749944	-1.25830611811274	0.717745963264423	-0.803199279698513	-0.501931457872366	1.26269509480664	-1.18609503012652	1.24643575717003
D030047H15Rik	0.0833841601658385	-0.214111702289286	1.44578538529484	1.61144426920951	-0.142819850024784	0.00373539478504831	-0.778183046852976	0.391178754634271	-1.74800315525241	-0.652410209669991
Rgs22	-0.316227766016831	-0.316227766016831	-0.316227766016831	-0.316227766016831	-0.316227766016831	-0.316227766016831	-0.316227766016831	-0.316227766016831	-0.316227766016831	2.84604989415155
Gm13420	1.37632130465527	0.699802448160266	1.41266057881743	-0.0588297175866965	-1.05422327408653	-0.359985172482136	-1.25943310209519	-0.310193799834965	0.669707466081465	-1.11582673162891
Fam81b	-0.316227766016854	-0.316227766016854	-0.316227766016854	-0.316227766016854	-0.316227766016854	-0.316227766016854	-0.316227766016854	-0.316227766016854	2.84604989415153	-0.316227766016854
Tmem167b	-1.44360150072803	-1.41822040837186	-0.324135913851358	-0.18500923649865	-0.744402610148709	0.50340015159547	0.308620192016786	0.939621388617391	1.48689384893864	0.876834088430306
Dkk2	-0.927497796839202	-0.927497796839202	-0.402686750031391	2.039865406203	0.723652707219494	-0.927497796839202	-0.927497796839202	0.191380798342225	0.527616388116156	0.630162637507334
Mfhas1	-1.12988689564338	-1.32698028160654	0.163680049234448	0.887244678099517	1.17962296926034	-0.756636665340909	-0.998161603505139	0.836830783676869	-0.0732891579198122	1.2175761237446
4930432J09Rik	-0.316227766016838	2.84604989415154	-0.316227766016838	-0.316227766016838	-0.316227766016838	-0.316227766016838	-0.316227766016838	-0.316227766016838	-0.316227766016838	-0.316227766016838
6530402F18Rik	-0.188046584610886	-0.301592034646041	-0.674610838391934	-1.84610528069194	-0.362238768815403	0.593131324330825	0.587982681278446	1.36065461528305	-0.580884433068179	1.41170931933206
Fgf23	0.262308864576393	-0.691950054311474	0.290417991203937	-0.0911500320667056	-0.480963722040681	-0.551536298624406	-0.625008806003891	1.81083591469916	-1.4022231037473	1.47926924631498
Stk35os1	0.214103091304382	-0.180588084985649	-0.680398241232983	1.41350400715544	1.46152285385866	-1.28203096046265	-1.56270630023819	0.0377157898154651	0.476437301803483	0.102440542982057
Krt18	-0.983720585808906	0.0571343138708609	0.221900804926013	-0.983720585808906	-0.983720585808906	1.95376396858926	-0.983720585808906	1.00916772403242	0.324188595833211	0.368726935983898
Spry1	0.218593247954115	0.270219120748493	-1.3764011551875	-1.3764011551875	-0.639922822600248	1.7099883521042	1.11984243204757	-0.314728020279109	-0.21055768199588	0.599367682395873
Psma5	-1.47485725592333	-1.45439573021663	-0.269480725390954	-0.247170870813584	-0.425957110935521	0.0340822596258109	0.308985244312907	0.983628060723639	1.48622226820976	1.0589438604079
Wdr33	-0.796237254851356	-0.613406531453978	0.845853753723127	0.710760619185406	1.67813810063493	-1.35758584903541	-1.19739944805728	0.0884636056179371	-0.160233223653805	0.801646227890416
Atp9b	-1.95884453101629	-0.940712195799379	-0.201760532092187	0.711310744981397	0.67289848376718	-0.893284898211792	-0.0862279104525203	1.00015876981882	0.718185835160279	0.978276233844493
Rpl14	1.78404574480112	-0.627795496110051	-0.0457022343741967	-1.44912867030808	-1.52648472533366	0.809920652068444	0.234178110827017	0.393587746008015	0.343664178309057	0.0837146941123114
Mbnl2	-0.0253137176946085	0.183606328322128	-0.484013702112557	0.399343326626956	-1.28736953432741	-0.408362899108694	-1.46993848657741	1.98382517387874	0.690972725579826	0.417250785413026
Gm11517	0.443598848040678	-1.36358247513389	1.19515192082974	0.931560250798224	0.98119373294991	0.0320556253667582	-1.89084200797253	0.100402608755342	-0.158707990299154	-0.270830513335107
1600029O15Rik	0.685671414076538	0.766498810313395	-0.709472592486812	-0.57336208052567	0.985166261323769	-1.81151144483167	-0.419757431442731	-0.815906527482999	0.61084748895972	1.28182610209647
Lepr	1.13122442076808	-0.863972917311823	0.948650436174546	0.326398957475829	1.27360837311698	0.267874936591685	-1.71250110472056	-1.13869382847744	-0.0234497257908475	-0.209139547826479
Tmed7	0.60130973296381	0.370467230168974	-1.09763697056157	-0.790544976553107	-2.02095648413189	1.39089041055788	0.588899449957639	0.327377080346529	0.311917138258519	0.31827738899324
Timp1	-0.178595095802998	-0.85062262458061	-0.85062262458061	-0.85062262458061	0.778772242703287	-0.85062262458061	-0.85062262458061	0.902268663643968	1.10454844104141	1.64611887131735
Srp72	-1.55044363370768	-1.60320551028912	0.0608736435212675	-0.824750840916402	0.238374854861282	1.15997234768306	0.581976683986967	0.54877912821419	0.284416835189285	1.10400649145713
4930547E14Rik	-0.316227766016845	-0.316227766016845	2.84604989415153	-0.316227766016845	-0.316227766016845	-0.316227766016845	-0.316227766016845	-0.316227766016845	-0.316227766016845	-0.316227766016845
Rdh9	0.600748642501948	-0.905933786014841	1.9957718217696	-0.361349210867328	0.945292972342696	0.136720446338801	-1.13937418779139	-0.653049922571226	-0.971347792752013	0.352521017043716
Gtf3a	1.51120469734384	0.700757839924619	-0.302759218200633	-0.987089268905545	-0.846291914893113	1.44617616881151	0.73173607754922	-0.48435002801764	-0.794798364915105	-0.974585988697153
Rasd2	1.13884952859811	1.41173155975343	-0.589018962037033	-1.06099836869272	-0.916980576833658	0.979222708628957	1.03310316193381	-0.517280762628629	-0.670060811129883	-0.80856747759237
Kctd5	-0.492574141276038	-0.0024358840657429	1.9600542061673	0.36351343719272	0.884399173622817	-1.60445396882403	-1.08519654008939	0.393736131364091	-0.269076867235614	-0.147965546856094
Pheta2	0.562314025068095	1.50632322192063	0.271855574536028	0.944212924962189	-1.05971217928978	1.01982335828247	-1.50761271822047	-0.509160334161026	-0.605837467758765	-0.622206405339374
Tdrkh	-0.479072389580015	-0.582608666770123	-0.378819603419294	-1.40663298742688	-0.899779715880606	1.53057519383023	1.63904852866451	0.600012126417741	-0.245796080099302	0.223073594263734
Mif4gd	-0.642503438484961	-0.823390513396474	0.893844802124849	1.03201338889853	1.23393616619275	-1.45435758369987	-1.35465616151895	0.571978665158396	0.0505444442656659	0.49259023046006
Iba57	-0.720376046546011	-0.545802944333887	0.567162085542892	1.38303393527973	1.33294475078098	-1.67175245966292	-1.00441522264088	0.045256938565412	0.0087807437054814	0.605168219309187
Epb41l5	-1.00859973152141	-1.01775377835001	0.33946717283215	-0.101019767889021	0.731528297054354	-0.854002942249928	-0.977282882276566	1.43214283045142	-0.13584277099572	1.59136357294474
Fhl2	0.677581861678243	0.926712226925049	-1.41617564228912	-1.14918366960846	-0.770365217271295	0.676178496628002	1.2090128072841	0.0677515620858747	-1.06322528464149	0.841712859209078
Esam	-1.34622152177771	0.717564204906783	-0.869784125552781	1.42493903146822	0.508390302264725	-0.789250423185317	-0.498666129935571	-0.975705939862257	0.657821480532272	1.17091312114166
Gm12339	-0.457919965926093	2.3850207135653	-0.457919965926093	-0.457919965926093	-0.457919965926093	-0.457919965926093	1.27833901384353	-0.457919965926093	-0.457919965926093	-0.457919965926093
Spindoc	1.36891438535335	1.18852080797915	0.437213452120683	0.41814338184714	0.73265765392289	-0.714533369760934	-1.68431859864031	-1.01808071769144	-0.648301658162319	-0.0802153369682411
Zfp568	-0.849350824546145	0.00991839435651242	0.701974900127703	2.08827843833536	1.05116211556286	-0.860941463559283	-0.637355685382403	-0.345478548024497	-1.01634925012412	-0.141858076746011
Prss2	-0.6075440882	-0.6075440882	0.321132920583338	-0.6075440882	-0.6075440882	0.0716534351173304	-0.6075440882	2.4592377012047	-0.6075440882	0.79324047229468
Tpt1	0.193203744405096	-0.562982931845732	0.915310959884475	1.05596443405433	1.32252195295708	-1.42114202899669	-1.6240977469872	-0.105332197686837	-0.240069120664933	0.466622934880395
Nsdhl	-0.711534052895924	-0.815486699699081	1.13818137279918	-1.68666020356207	-0.0888678690424413	0.112584751779611	0.202865033876955	1.7957569985763	-0.420933901337479	0.474094569504938
Tpd52	0.259872675628466	0.18574327696847	-1.85604807010724	-0.290027341420225	-0.877563765813523	1.155739325448	1.10293983788796	-0.646599738909488	1.24520301921085	-0.279259218893258
Pwwp3a	0.779005562897125	1.21598068393648	-1.59433480413214	0.613201831606898	-0.339453988412236	0.765782672806053	0.679938708458519	-1.58241107780068	0.0345113005293895	-0.572220889889425
Pdzk1ip1	-0.792332151285387	-0.792332151285387	0.61165019126777	-0.478859294174069	1.16759612523402	-0.792332151285387	-0.792332151285387	0.910424435928231	-0.792332151285387	1.75084929817098
Zmat5	0.780843978072776	1.65197552846326	-0.0143925982314123	1.0615657141753	0.658315806143089	-0.8973719143105	-0.233929057522846	-1.27693253267339	-0.626693748927905	-1.10338117518835
Zfp949	-0.748793792876443	-0.700255347769293	0.641478001209338	0.802472265598373	1.38556537512013	-1.16926363016369	-1.24301468825585	0.451722851215251	-0.628959064720464	1.20904803064265
Llgl1	-1.02931328422962	-0.522876044466293	0.166109769931678	1.29034142300227	0.804125329951138	-1.60086460822779	-1.16411514346067	0.686419032542956	0.676919094917226	0.693254430039113
Ssrp1	-0.411105957435487	-0.297553751802302	1.38461486483839	0.155636028555623	1.51708533227552	-0.785684937180651	-0.828227535593143	0.42341936806244	-1.66220869256064	0.50402528084028
Rps5	0.0164201215095368	-0.556831067639672	1.96761928016666	-0.346046795783809	0.953451883477348	-1.45589073462406	-1.14291852890325	-0.058361971026489	0.022965534047697	0.599592278776022
Rps4x	0.310332907172225	-1.64361019928885	-1.02406236112711	-0.260650534926129	-1.12854450489453	1.22108790380157	0.406058722387657	0.175560738668632	1.31541811124822	0.62840921695836
Rps29	1.64921386342024	-1.59057783671985	0.301473015797059	-0.216562292945633	0.755651350119038	-0.54410297252179	-1.48671889566486	0.345662249673422	0.162079975221673	0.62388154362072
Rps17	2.32217985832113	0.102771531026253	0.717406936499465	-0.211924266165681	0.443525394278391	-0.188535910579079	-0.51935678131636	-0.848893279335138	-1.19464840148058	-0.62252508124839
Rps15	1.0189954142784	-1.31027337679733	0.00377723094046315	-1.98103366939063	-0.357141800187249	0.434412104164378	0.289336996414961	0.914019530864672	-0.0523661451634741	1.0402737148758
Polr2c	0.0855920323406809	-0.614799170393942	1.39563138150988	-0.0134055618507173	1.45855981346366	-1.52810673117201	-1.05777007457709	0.39574538108533	-0.739456095884348	0.618009025478533
Eif2b4	0.61168240676358	0.642174991329029	0.704678677273846	-1.8388580574238	0.245536641816762	0.596551822063547	0.906179421884211	-0.801871970494914	-1.50435205041764	0.438278117205365
Aldh1a2	-0.821404338733179	-0.0312807352292437	-0.0683936417487731	-0.218799176986245	0.0836454433370047	-1.23250872930111	-0.93051073195964	1.76993085483652	-0.196458388228992	1.64577944401365
Rai1	0.0840293930261014	0.872731145015823	-1.7576504647669	1.15084991560863	-1.71260001014927	0.502459803202183	-0.0751199951345805	-0.136284839965094	0.665523483032688	0.406061570130432
BC031361	-0.587904912832305	-1.93131703993473	0.243309970182297	-0.0133310778396677	0.188921135270284	-0.506732494120922	-0.665585277446767	0.981161690522424	1.66603607141675	0.625441934782619
Spg20	0.466188739563993	0.190658410671955	1.11679994326503	0.725136272364434	1.38816782007676	-0.926846371121508	-1.63353466959429	-0.174470306620248	-1.21817770514239	0.06607786653624
Lonp2	1.02861107457014	1.18121731867398	-0.265930184659119	-0.5231463306427	-0.00122656209472627	0.456114525430722	0.909357384684391	-1.31554999818798	0.350864190892872	-1.82031141866763
Ubap2	-0.596270304024164	-0.741091196629751	0.490535588746521	-1.22244790251629	0.641035115925971	1.35829733734079	1.05197294216298	0.580089883765851	-1.62990723455965	0.0677857697877538
