genes	cluster
Cgref1	4
Larp1	6
Tram2	4
Ct55	15
Fcgr4	1
Crlf3	18
Cxcr5	1
Ralb	4
Ckb	5
Pmvk	7
Adss	14
Zdhhc14	1
Lyz1	15
X1110002J07Rik	2
Amz1	5
Il16	23
Kdr	1
Gm6455	17
Tspo	6
Clec12a	4
Ctnnal1	3
Plxdc2	4
Gm1070	19
Cd302	23
Ppif	14
Nrp1	8
Inpp1	8
Cadm1	5
Agfg2	4
Ifi209	2
Gm1966	2
Smarce1	3
Spred2	4
H2.DMb2	5
Bahd1	1
Dok1	3
Epcam	17
Smim3	1
Pik3r5	1
Jarid2	24
Arhgap19	23
Stard8	8
Acad9	11
Itga8	4
Tbc1d31	5
Gpr4	11
Man1a	12
Clec2i	3
Cabp4	11
Anxa3	1
Speer1	1
Nlrp1a	9
Mpp1	2
Itgae	9
AI606473	9
Pmaip1	2
Emp2	4
A4galt	1
Lrp5	5
Itgam	15
Cerk	9
Fam126a	1
Anxa1	1
Slamf1	1
Relt	7
Ncoa5	3
Creld2	30
Trafd1	2
Usp22	16
Elk3	24
Gtf2h2	5
Fzd10os	15
Ust	30
Scn4b	3
Hrc	11
Il1rl1	4
Clec2d	3
Golm1	23
Gjb2	2
Txndc16	5
Gpr155	4
Lipa	5
Mthfr	2
Misp	2
Laptm4b	1
Cnpy4	23
Rrad	7
Ddr1	19
Lmo2	5
Nfkbib	3
Cybb	26
Chst12	9
Fam72a	11
Mob3c	2
Dnaja2	6
Nfkb1	3
Ube2z	3
Camk1	9
Bcl6	34
Ccser2	2
Ocstamp	5
Aida	26
Gm3336	4
Pdk1	8
Large1	1
Atp2b1	1
Tmem86a	8
Npc2	2
Tbc1d10a	7
Slc25a19	11
B3gnt2	1
Skap2	5
Nudt17	7
Tnfrsf13b	6
Slc9a3r1	7
Il1r1	17
Suclg2	20
Zfp704	15
Dhrs7	30
Cd24a	4
Bcl2l14	2
Pi4k2b	2
Arhgef7	5
Tlr3	5
Apobec1	7
Cers2	4
Snx25	5
Map3k9	5
Abcc8	9
Fuca2	8
Mxd4	30
Arhgap6	8
Cdh17	5
Rufy3	1
Dop1b	26
Itch	5
Cpt1a	4
Itpr2	1
Elavl4	24
Pigv	6
Galnt7	19
Mdfic	6
Olfm1	9
Vim	9
Cfb	7
Stat2	2
Apol9a	2
Ifitm3	1
Ctsa	15
X4931428F04Rik	1
Gjc1	35
Prkd2	5
Ezr	7
Sdc3	22
Fam32a	18
X9930111J21Rik1	26
B4gat1	23
Bend3	17
Ifi214	2
Il2ra	7
Rab8b	3
Fcrla	9
Klk15	11
Mical2	5
Prr7	5
Aftph	2
Fermt3	5
Gtpbp1	3
Slc43a3	18
Amn1	1
Fat3	4
Cyp4f16	23
Csf2rb	1
Mthfs	3
Ppm1h	28
Clec4a2	28
Casz1	10
C1ql4	19
Kcnk6	3
Tm4sf5	1
Trim30a	2
Tmem229b	13
Ifit1bl2	1
Arhgef9	9
BC147527	2
Bmyc	5
Ston2	20
Fndc5	20
Cdc42ep1	25
Tlk2	3
Tnfsf14	1
Ido1	1
Chpt1	1
Synpo	9
Dip2c	5
Fam102a	22
Pogk	1
H2.Q6	2
Tmem229a	20
Tnfaip8l2	4
Ssh1	1
Hsd17b11	1
Cep19	5
Hmga2.ps1	8
Tlcd1	7
Aldh18a1	23
Inpp5b	3
Hdgfl3	5
Otud5	1
Card11	8
Lpcat1	5
Prcp	5
Abhd17a	5
Kit	3
Npc1	30
Col4a3bp	5
C5ar1	16
Ier5	1
Denr	1
C9orf72	2
Fnbp1l	6
Smarca2	9
Pald1	8
Shc2	7
Gna15	8
Faah	3
Irf2bpl	25
Tspan14	4
Eif2ak3	5
Clec9a	5
Mapkapk3	18
Rad51	3
Znrf1	1
Serpine2	11
Ttc9	4
Timd2	17
Mns1	9
Kif1a	7
E2f6	23
Fxyd5	4
Zfpm1	17
Chek2	9
Ahr	6
Tmtc1	9
Slc9a2	15
Hax1	19
Mbp	27
Acsl1	16
Mgat4a	18
Grk6	5
Sgsm3	5
Hs6st1	29
Ncor1	18
Scube3	3
Rnf24	1
Hk2	7
Arfrp1	7
Csf1	6
Cysltr1	8
Pnpo	20
Prpf38a	6
X2310001H17Rik	1
Ankrd33b	6
Gem	4
Me2	9
Tra2a	3
Fzd8	21
Ergic1	25
Pfkm	5
Cd36	5
Gpr141b	5
Dennd2d	5
Adam23	34
Mtmr14	2
Zfp608	5
Bbx	16
Bag2	5
Mt2	24
Aunip	19
Susd1	5
Aebp2	3
Fcgr3	15
Tespa1	22
X1700009J07Rik	5
Tnfrsf11a	6
Xxylt1	5
Pawr	4
Iffo2	16
Clstn1	20
Ppp1r16b	8
Sh3pxd2a	19
Igf2r	4
Rpn1	5
Slamf9	34
Prss30	5
Sco1	1
Wipf1	5
Casp3	27
Parp10	2
Cd72	19
Lifr	8
Rab29	2
Ptprj	3
H2.Q10	1
Mtmr4	32
Sdcbp2	6
M1ap	10
Zbtb21	2
Tbl2	23
Tagap	11
Mvp	6
Wars	3
X2900026A02Rik	9
Gbp6	2
Map4k1	9
Slc22a5	8
H2.D1	2
Clic4	3
Axl	2
Tnfsf8	1
Foxf1	26
Pnpla7	5
Pglyrp2	2
Irgm1	2
Slc25a44	6
Tcf24	4
Rap1gap2	23
Orai2	8
Pcdh1	5
Eogt	4
Fuca1	8
Atp6v0a1	1
Man2a2	23
Klk1b11	11
