genes	cluster
Epn1	3
Large1	2
Fut2	1
Mllt6	1
C130050O18Rik	3
Traf4	6
Dlx1	5
Ext2	3
Aldh18a1	3
Vars	2
Nup62	2
Gm19510	2
Traf2	2
Slc6a8	2
Apol10b	1
Akt3	1
Mif4gd	1
Map2k1	1
Man2a2	3
Nup210	3
Alpk2	1
Sgsm3	3
Mtmr12	1
Tgm2	3
Mt1	3
Aftph	1
Gem	5
Rnf24	1
Chst12	5
Nbeal2	3
H2.Ob	3
Prcp	3
Myof	5
Mycl	5
Rilpl2	2
Ttyh3	3
Vcl	10
AI837181	1
Tlk2	1
Hdac5	3
Map3k9	3
Irs2	3
Tgif1	4
Spef1l	2
Cxcl2	1
Upk1a	1
Ptgis	3
Ptpn12	3
Epb41l5	2
Casp3	4
Zc3hav1	1
Pdk1	5
P2ry2	2
Crxos	1
Rps6ka2	6
Coro7	3
P2ry12	3
Tm9sf4	2
Ssh1	1
Myh7b	3
Gm16712	1
Cat	3
Fbxw17	1
Ssbp4	3
Wipf1	5
AI606473	3
Uba7	1
Lamtor4	3
Rabep2	2
Lrp5	3
Cd34	3
Rmnd5b	3
Mical1	3
Ms4a1	2
Gm2a	3
Asb13	1
Zc3h12c	1
Strip2	1
Tmem8	3
Arhgap31	1
X2510009E07Rik	3
Ascc3	1
Cd99l2	3
Agfg2	3
Rcbtb2	3
Itpr2	1
B430306N03Rik	5
Plekhg3	3
Fbxl14	3
Ripor1	3
Net1	4
Otof	2
Hsd17b11	1
BC005537	1
Tmem123	1
BC147527	1
Gpr155	3
Pdp2	1
Cyth3	6
Tyrobp	3
Lmna	3
Pfkm	3
Ino80d	1
Gstt1	2
Prkar2b	3
Ldlr	1
Dok3	3
Reep3	4
Ddx11	2
Tbx21	3
Npc2	1
Itch	3
Rasgrp3	3
Stt3b	3
Scimp	3
Inf2	1
Arhgap19	3
B4gat1	3
Uvrag	8
Faah	1
Gfpt1	1
Peak1	1
Nr6a1	1
Washc1	2
Ush1c	3
Arfrp1	2
H2.Q10	2
Crlf3	1
Fcrla	3
Kif7	3
X2900026A02Rik	5
Bend3	2
P2rx4	1
Gstm1	2
St8sia1	5
Prex1	1
Irf1	4
Zbtb5	1
Il15ra	4
Bbs9	3
Axl	1
Cbx8	3
Cysltr1	3
Misp	1
Gm1070	2
