PeakID	Irf1_0	Irf1_120	Irf4_0	Irf4_120	Junb_0	Junb_120	Rela_0	Rela_120	Relb_0	Relb_120	Rel_0	Rel_120	Stat1_0	Stat1_120	Stat2_0	Stat2_120	Stat3_0	Stat3_120
peak17346	7.75	5.15	7.51	2.37	7.78	11.48	5.57	11.61	2.08	3.12	11.27	1.60	2.54	6.36	4.10	5.77	2.51	5.60
peak12130	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.24	0.45	0.00	0.00	0.00	0.00
peak6885	1.11	5.15	4.50	1.19	0.00	3.83	0.00	0.97	0.00	0.00	0.00	0.00	0.73	1.56	0.00	0.64	0.63	0.00
peak13344	1.11	1.29	1.50	0.00	3.11	0.00	3.34	0.00	1.04	2.08	3.22	1.60	1.69	0.89	0.00	0.64	0.00	1.60
peak22620	0.00	2.58	1.50	2.37	0.00	1.91	0.00	0.00	5.19	0.00	1.61	0.00	0.24	0.45	0.00	0.64	2.51	0.80
peak1569	1.11	6.44	6.00	5.34	0.00	1.91	0.00	5.80	6.23	6.24	4.83	3.19	2.54	2.12	0.00	1.92	5.03	4.80
peak22504	5.54	3.87	12.01	0.00	6.22	1.91	4.46	6.77	9.35	3.12	3.22	4.79	1.33	1.34	0.00	2.57	1.26	1.60
peak8652	16.62	52.83	13.51	2.97	1.56	5.74	1.11	7.74	4.16	2.08	4.83	3.19	2.18	7.59	1.37	7.70	2.51	8.00
peak21005	4.43	18.04	39.03	16.02	28.00	15.31	1.11	13.54	4.16	4.16	4.83	4.79	1.21	6.58	2.73	1.92	1.26	7.20
peak6299	3.32	1.29	4.50	2.97	4.67	5.74	0.00	6.77	2.08	3.12	1.61	0.00	0.85	1.90	2.73	0.00	4.40	6.40
peak28385	6.65	29.64	4.50	2.37	4.67	9.57	2.23	7.74	2.08	3.12	1.61	4.79	1.57	4.02	0.00	4.49	1.26	4.00
peak24801	0.00	1.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	1.60	1.33	0.22	0.00	0.00	0.00	3.20
peak19152	2.22	1.29	0.00	0.59	1.56	1.91	1.11	3.87	2.08	5.20	1.61	3.19	2.18	2.23	0.00	1.28	0.63	0.00
peak8030	9.97	43.81	16.51	8.30	9.33	9.57	4.46	27.08	3.12	10.39	6.44	6.38	1.57	35.14	1.37	18.60	3.14	8.80
peak24184	0.00	1.29	1.50	2.97	6.22	1.91	2.23	0.97	2.08	1.04	0.00	0.00	2.06	1.79	2.73	1.28	1.26	0.80
