PeakID	Uns	CpG	pIC	all3	PU.1_0hr	PU.1_CpG	PU.1_pIC	Rela_0hr	Rela_CpG	RelB_CpG	p300_0hr	p300_CpG	p300_pIC	cREL_0hr	cREL_CpG	cREL_pIC	IRF3_0hr	IRF3_CpG	IRF3_pIC	IRF5_0hr	IRF5_CpG	IRF5_pIC
peak10953	2.60	4.61	0.85	5.41	3.13	2.25	4.47	3.23	0.00	2.77	0.77	1.48	0.49	0.00	0.51	1.18	2.66	3.03	5.10	5.55	2.78	3.42
peak26727	4.62	12.39	15.56	22.76	2.09	5.01	4.94	0.46	8.71	9.68	2.06	5.92	6.91	1.73	32.65	27.70	1.77	7.57	24.67	3.29	20.25	17.67
peak15458	0.00	4.90	1.41	5.41	0.52	1.25	1.41	3.69	2.56	1.73	0.52	0.99	0.49	3.45	2.55	2.95	0.00	0.00	1.70	0.21	1.55	0.43
peak11302	14.15	10.66	16.13	8.54	66.03	59.84	65.11	2.77	2.05	3.80	7.22	9.37	15.78	4.60	18.36	11.20	48.81	66.64	142.05	12.94	31.23	36.34
peak13201	21.36	18.15	34.52	31.01	29.75	37.06	35.49	2.77	6.66	9.68	8.50	14.80	18.25	3.45	37.75	14.73	20.41	30.29	117.38	3.70	53.64	40.76
peak30191	1.15	6.05	7.64	13.94	1.30	1.75	1.65	0.92	0.00	13.13	1.55	0.49	1.48	0.58	1.02	1.18	0.89	0.76	0.85	0.62	0.93	1.57
peak19110	1.15	12.67	6.51	18.78	1.04	2.25	2.59	0.46	0.00	5.53	0.52	0.99	0.49	0.00	1.02	1.77	0.00	2.27	0.00	0.21	1.24	1.00
peak15314	8.37	2.88	1.41	0.57	1.30	2.50	2.59	1.38	2.56	0.69	1.03	2.47	0.49	0.58	3.06	2.95	7.99	5.30	4.25	1.64	3.25	2.85
peak29902	26.27	27.65	21.78	35.28	28.19	20.28	21.62	1.84	3.08	4.49	3.87	5.43	4.93	1.15	6.12	4.71	29.29	20.45	45.93	1.44	5.57	5.42
peak26485	5.20	8.07	3.11	7.40	4.70	3.76	6.35	0.92	3.08	1.38	3.35	1.48	1.48	0.00	1.53	2.95	9.76	18.17	17.01	3.70	3.56	3.71
peak19666	15.59	6.05	3.40	4.55	7.57	7.51	7.05	0.00	1.03	0.35	3.09	2.47	2.47	1.15	1.02	1.77	14.20	15.90	16.16	1.03	4.02	2.85
peak6461	1.44	2.88	1.98	4.84	4.44	5.01	7.99	1.84	0.00	4.49	1.80	2.47	1.97	1.15	3.57	0.59	1.77	2.27	0.85	2.26	3.09	3.28
peak20743	34.93	11.52	11.88	2.85	35.76	28.80	25.15	2.77	6.66	4.15	10.57	11.84	7.89	3.45	19.89	12.38	19.52	16.66	15.31	3.90	15.46	12.40
peak1000	1.73	3.74	1.70	9.39	0.78	0.25	1.18	0.00	0.00	1.04	0.26	0.00	0.99	1.73	9.18	8.25	7.10	3.79	9.36	0.62	3.40	3.42
peak20128	19.63	58.76	31.69	64.30	5.48	11.52	11.75	1.84	25.11	68.09	5.15	19.24	11.84	4.60	47.44	13.56	13.31	18.17	62.94	4.52	55.19	41.62
peak15630	5.77	6.05	2.83	8.25	8.61	7.26	8.70	0.92	1.54	2.07	1.29	0.49	0.49	0.58	1.02	0.59	0.00	2.27	4.25	0.62	0.46	0.71
peak7833	6.64	3.46	1.13	1.71	2.35	1.25	3.06	1.38	0.00	0.69	2.06	0.49	3.95	1.15	2.04	4.13	3.55	6.06	20.41	1.23	1.86	2.00
peak16150	5.20	22.47	31.97	33.86	3.39	2.50	4.00	0.92	4.10	10.02	2.06	1.97	1.48	1.15	4.59	10.61	0.00	5.30	15.31	3.08	4.48	6.98
peak24064	43.02	7.49	21.50	11.38	42.54	34.55	29.85	5.07	16.40	6.57	16.75	12.83	14.80	1.73	18.87	21.22	20.41	22.72	39.98	5.96	17.31	19.10
peak8569	30.31	6.63	5.94	5.41	32.10	20.28	22.80	0.00	3.08	4.84	6.18	4.93	7.89	3.45	12.75	10.02	18.64	18.17	83.36	6.78	21.02	27.79
peak3905	17.61	6.91	7.64	3.41	14.09	10.77	11.52	2.31	2.05	0.69	7.22	5.43	3.95	0.58	4.08	3.54	10.65	7.57	51.03	1.23	9.89	8.41
peak4124	11.84	15.55	21.78	19.92	33.67	36.06	32.67	0.00	6.15	2.07	3.61	14.80	3.95	0.58	4.59	1.18	4.44	12.12	8.51	9.45	48.23	41.76
peak13840	1.15	5.18	0.85	1.71	0.78	0.50	0.71	2.31	2.05	0.69	0.26	1.48	0.49	0.58	0.51	1.18	5.32	1.51	0.00	0.62	0.77	0.43
peak11793	1.44	2.30	7.92	5.69	3.13	11.27	4.00	1.84	3.59	2.77	1.29	3.45	2.47	1.73	3.57	1.18	0.89	0.00	5.10	1.03	5.26	3.85
